BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,Indexer
CLBAL0001,2:00 AM,ST,Boston,2127,39.3,585,"$44,006.26",2011N-00057,UO67,1
CLBAL0002,1:00 AM,AV,Boston,2136,50.4,142.4,($886.20),2013N-00015,*Indicates location not included in 2012 map,2
CLBAL0003,1:00 AM,AV,Boston,2127,117.1,627.7,"$101,468.29",2014N-00014,UO44,3
CLBAL0004,1:00 AM,AV,Boston,2109,57.8,279.6,"$42,919.31",2011N-00040,UO37,4
CLBAL0005,2:00 AM,Av,Boston,2108,65,1891.7,"$39,768.17",2012N-00125,UO74,5
CLBAL0007,1:00 AM,RD,Hyde Park,2199,104.5,7486.4,"$98,938.55",2013N-00175,UO58,6
CLBAL0008,1:00 AM,ST,Boston,2128,103.1,533.8,"$8,873.97",2011N-00003,UO26,7
CLBAL0009,1:00 AM,ST,Boston,2120,90.1,461.6,"$106,848.84",2012N-00093,UO11,8
CLBAL0012,1:00 AM,BL,Dorchester,2114,81.7,384.4,"$84,249.74",2013N-00111,UO72,9
CLBAL0014,1:00 AM,ST,Boston,2110,61.2,2208.8,"$88,539.63",2014N-00134,UO17,10
CLBAL0016,2:00 AM,ST,West Roxbury,2108,104.1,960.5,"$36,062.67",2012N-00029,UO8,11
CLBAL0017,2:00 AM,ST,Boston,2110,77.3,3481.3,"$1,557.00",2013N-00079,UO4,12
CLBAL0018,1:00 AM,,Boston,2109,,0,"$98,860.29",2014N-00093,UO32,13
CLBAL0019,1:00 AM,RD,Dorchester,2118,88,957.8,$582.75,2011N-00053,UO16,14
CLBAL0020,2:00 AM,ST,Boston,2127,166.8,1035.2,"$107,575.68",2013N-00008,UO69,15
CLBAL0021,2:00 AM,St,Brighton,2109,17.8,332.7,"$4,824.55",2013N-00178,UO13,16
CLBAL0022,2:00 AM,ST,Roslindale,2118,89,475.9,"$82,652.41",2014N-00181,UO30,17
CLBAL0023,2:00 AM,,South Boston,2120,0.2,0.5,"$32,653.66",2011N-00022,UO55,18
CLBAL0024,1:00 AM,ST,Charlestown,2131,182.4,5215,"$87,002.38",2013N-00140,UO51,19
CLBAL0025,2:00 AM,ST,Dorchester,2130,54.3,242.2,"$45,475.20",2012N-00108,UO3,20
CLBAL0026,1:00 AM,AV,Boston,2109,67.2,1729.5,$824.36,2014N-00153,UO35,21
CLBAL0027,1:00 AM,RD,Boston,2120,5.7,175.6,"$106,769.77",2012N-00007,UO10,22
CLBAL0028,2:00 AM,ST,East Boston,2135,98.4,801.4,"$76,413.98",2013N-00114,UO84,23
CLBAL0029,1:00 AM,ST,Boston,2109,55.5,6740.3,"$108,181.17",2014N-00049,UO20,24
CLBAL0030,2:00 AM,St,Roslindale,2215,67.2,214.2,"$73,197.77",2012N-00001,UO47,25
CLBAL0031,1:00 AM,ST,Roslindale,2116,125.7,525.8,"$91,619.96",2013N-00021,UO93*,26
CLBAL0032,1:00 AM,ST,Dorchester,2108,113.8,1483.3,"$39,948.98",2014N-00026,UO36,27
CLBAL0033,1:00 AM,PL,Boston,2115,,,"$46,860.44",2011N-00012,UO57,28
CLBAL0034,1:00 AM,AV,Roxbury,2116,86.3,2430.4,"$86,331.52",2012N-00082,UO52,29
CLBAL0036,2:00 AM,AV,Roxbury,2111,123.4,1047.6,"$34,884.32",2013N-00104,UO86,30
CLBAL0037,2:00 AM,ST,East Boston,2127,2,49.5,"$5,336.41",2014N-00123,UO43,31
CLBAL0038,2:00 AM,ST,Dorchester,2110,65.3,5524.9,"$1,848.00",2011N-00056,UO27,32
CLBAL0039,2:00 AM,AV,Dorchester,121091402,,0,"$65,400.71",2013N-00002,UO77,33
CLBAL0040,1:00 AM,Av,Boston,2215,107.2,6133.2,"$5,672.43",2014N-00009,UO63,34
CLBAL0042,1:00 AM,ST,Hyde Park,2116,2,22.5,"$102,220.33",2011N-00021,UO9,35
,1:00 AM,St,West Roxbury,2118,40.4,124.7,"$42,122.40",2012N-00090,UO80,36
CLBALA0002,2:00 AM, ,East Boston,2110,117.3,764.7,"$91,230.88",2013N-00102,UO6,37
CLBALV0002,1:00 AM,ST,South Boston,2108,92.2,946.9,"$63,288.51",2014N-00116,UO49,38
CLBALV0003,2:00 AM,BL,Dorchester,2116,138,1684,"$42,876.01",2011N-00066,UO90,39
CLBALV0004,1:00 AM,ST,Dorchester,2115,50.2,14.9,"$24,290.38",2013N-00011,UO62,40
CLBALV0005,2:00 AM,ST,Dorchester,2115,0.9,0.9,"$83,345.26",2014N-00028,UO22,41
CLBALV0007,1:00 AM,ST,Dorchester,2115,14.6,28.2,"$38,037.07",2011N-00020,UO34,42
CLBALV0008,1:00 AM,ST,Jamaica Plain,2115,104.2,2192.2,"$82,004.78",2012N-00106,UO21,43
CLBALV0009,2:00 AM,ST,Roxbury,2132,141.8,512.4,"$22,850.16",2013N-00166,UO71,44
CLBALV0010,1:00 AM,AV,Roslindale,2111,72.5,420,"$14,272.20",2014N-00132,UO25,45
CLBALV0011,1:00 AM,ST,East Boston,2108,86.9,8033.5,"$109,064.72",2011N-00031,UO60,46
CLBALV0014,1:00 AM,AV,Hyde Park,2026,23.8,135.8,"$84,168.09",2012N-00131,UO61,47
CLBALV0016,MIDNIGHT,ST,Dorchester,2111,46,289,"$3,210.62",2013N-00159,UO73,48
CLBALV0020,1:00 AM,,South Boston,2111,85.2,605.7,$0.00,2014N-00157,UO89,49
CLBALV0021,2:00 AM,AV,Mattapan,2111,93.2,411.2,"$103,921.54",2011N-00058,UO66,50
CLBMW0001,1:00 AM,RD,South Boston,2210,219.1,3141.7,"$81,368.38",2013N-00005,UO64,51
CLBMW0003,11:00 PM,AV,Boston,2210,129.3,5937.3,"$30,872.25",2014N-00020,UO75,52
,9:00 p.m.,ST,Boston,2210,64.4,936.1,"$35,963.40",2011N-00037,UO24,53
CLBAL0041,2:00 AM, ,Boston,2215,64.8,249.4,"$76,665.44",2012N-00126,UO41,54
CV7AL0001,2:00 AM,ST,Dorchester,2115,230.3,2720.2,"$64,927.05",2013N-00138,UO18,55
CV7AL0002,2:00 AM,ST,Boston,2115,138.2,1481.6,"$31,076.56",2014N-00154,UO45,56
CV7AL0003,1:00 AM,AV,Boston,2115,455.4,3345.8,"$82,861.64",2011N-00051,UO1,57
CV7AL0004,1:00 AM,AV,Boston,2115,245.4,2054.3,"$98,860.29",2012N-00137,UO68,58
CV7AL0005,2:00 AM,AV,Boston,2108,73.9,1574.5,"$86,493.81",2013N-00167,UO19,59
CV7AL0006,2:00 AM,ST,Boston,2116,129.9,1214.1,"$90,279.92",2012N-00046,UO46,60
CV7AL0007,2:00 AM,ST,East Boston,2116,106.6,706.5,"$38,357.18",2013N-00055,UO88,61
CV7AL0008,2:00 AM,Av,Boston,2110,66.9,2411.3,"$106,251.17",2014N-00072,UO23,62
CV7AL0009,1:00 AM,ST,Charlestown,2210,57.2,381.9,"$25,020.29",2012N-00003,UO81,63
CV7AL0010,12:30 AM,ST,Boston,2210,68,306.8,"$93,664.17",2013N-00029,UO91,64
CV7AL0011,2:00 AM,St,Boston,2109,64.9,501.4,"$46,277.17",2014N-00043,UO42,65
CV7AL0012,2:00 AM,ST,Boston,2110,90.3,522.3,"$2,369.58",2011N-00063,UO12,66
CV7AL0013,2:00 AM,ST,Boston,2110,131.6,611.4,"$80,215.83",2013N-00061,UO87,67
CV7AL0014,2:00 AM,ST,BRIGHTON,2116,71.4,595.4,"$100,738.41",2014N-00081,UO82,68
CV7AL0015,2:00 AM,ST,Boston,2119,,550.4,"$76,665.44",2011N-00009,UO50,69
CV7AL0016,2:00 AM,ST,Boston,2111,,,"$21,152.58",2013N-00023,UO31,70
CV7AL0017,1:00 AM,AV,Boston,2118,115.2,2461,"$107,990.94",2014N-00013,UO79,71
CV7AL0018,2:00 AM,PL,Boston,2109,60.7,76.3,"$102,917.53",2014N-00173,UO56,72
CV7AL0020,2:00 AM,ST,Boston,2210,55.5,301.8,"$13,112.65",2011N-00064,UO28,73
CV7AL0021,2:00 AM,AV,Boston,2110,159.4,1480.8,"$94,092.54",2013N-00001,UO2,74
CV7AL0022,1:00 AM,ST,East Boston,2110,58.9,375.5,"$44,132.78",2014N-00004,UO38,75
CV7AL0023,2:00 AM,ST,East Boston,2210,92.9,945.3,"$13,655.10",,UO5,76
CV7AL0024,2:00 AM,ST,Boston,2119,21.3,65.7,"$101,466.00",2012N-00072,UO59,77
CV7AL0025,2:00 AM,ST,Boston,2139,111.8,879.4,"$55,974.12",2013N-00168,UO54,78
CV7AL0027,2:00 AM,ST,Boston,2108,104.1,902.1,"$24,078.60",2013N-00067,UO53,79
CV7AL0028,2:00 AM,St,Boston,2116,63.9,456.8,"$8,840.45",2012N-00063,UO76,80
CV7AL0029,2:00 AM,ST,Boston,2122,42.7,347.2,"$47,706.32",2013N-00130,UO83,81
CV7AL0031,2:00 AM,AV,Boston,2116,89.3,5192.1,"$2,764.39",2014N-00097,UO29,82
CV7AL0032,2:00 AM,PL,Boston,2116,82.9,3335.7,"$55,974.12",2012N-00060,UO65,83
CV7AL0034,2:00 AM,DR,Boston,2109,48.3,811,"$102,690.78",2013N-00129,UO39,84
CV7AL0037,1:00 AM,St,Boston,2109,51,622.6,"$97,716.03",2014N-00095,UO85,85
CV7AL0039,2:00 AM,ST,Boston,2114,10.9,55,"$96,404.95",2011N-00017,UO48,86
CV7AL0041,24 HOURS,ST,Boston,2115,105.2,175.4,"$2,040.00",2012N-00094,UO15,87
CV7AL0042,1:00 AM,ST,Boston,2114,74.8,1016.3,"$105,404.61",2013N-00115,UO92,88
CV7AL0043,2:00 AM,ST,Boston,2116,99.4,328.2,"$107,238.29",2014N-00121,UO40,89
CV7AL0044,2:00 AM,PL,Boston,2210,61.2,-211.7,"$47,960.68",,UO70,90
CV7AL0045,1:00 AM,ST,Boston,2116,116.9,544.8,"$1,587.00",2012N-00048,UO78,91
CV7AL0046,2:00 AM,ST,Boston,2111,82.7,3125.7,"$61,441.51",,UO33,92
CV7AL0048,2:00 AM, ,Boston,2215,85.7,1117.9,"$44,504.95",2013N-00133,UO7,93
CV7AL0049,2:00 AM,,Boston,2110,79.1,4518.6,"$99,197.79",2014N-00175,UO14,94
CV7AL0389,1:00 AM,SQ,Boston,2215,206.4,4507.2,"$121,451.94",2012N-00030,UO40,95
CV7AL0050,1:00 AM,St,Boston,2118,92.5,995.6,"$88,836.14",2013N-00058,UO70,96
CV7AL0051,1:00 AM,ST,Boston,2114,40,283.2,"$69,701.50",2014N-00067,UO78,97
CV7AL0052,2:00 AM,ST,Boston,2115,45.5,809.8,"$54,554.58",2011N-00049,UO33,98
CV7AL0053,1:00 AM,Pk,Boston,2210,41.2,230.2,"$62,545.90",2012N-00124,UO7,99
CV7AL0054,2:00 AM,ST,Boston,2108,93.3,672.1,"$25,984.75",2013N-00145,UO14,100